Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  
1,2,3,4,653.37,0.11,0,-230.8,-10833.078,312.531
1,2,4,5,300.68,0.72,0,-80.59,-1246.343,312.531
1,2,5,6,473.8,2.32,0,56.57,-785.569,312.531
1,2,6,7,437.73,1.25,0,36.25,-362.884,312.531
1,2,7,8,108.66,3,0,-40.91,-51.475,312.531
1,2,8,9,169.97,7.05,0,-50.64,-50.325,312.531
1,2,9,10,225.87,11.85,0,-35.06,-44.584,312.531
1,2,10,11,-106.76,33.1,0,29.47,14.751,312.531
1,2,11,12,1036.42,18.91,0,-120.26,-104.146,312.531
1,2,12,13,-734.54,54.64,0,206.15,55.358,312.531
1,2,13,14,-480.39,1.64,0,-6.1,28.096,315.302
1,2,14,15,-874.44,1,0,-23.19,40.184,315.302
1,2,15,16,-800.41,0.79,0,21.59,29.426,315.302
1,2,16,17,201.45,0.16,0,23.29,-6.017,315.302
1,2,17,18,96.82,1.49,0,2.66,-2.382,315.302
1,2,18,19,1889.03,0.16,0,-0.75,-38.723,315.302
1,2,19,20,984.46,0.21,0,2.98,-16.994,315.302
1,2,20,21,1025.59,0.22,0,-36.55,-15.049,315.302
1,2,21,22,17785.09,0.22,0,22.36,-223.681,315.302
1,2,22,23,47433.65,0.17,0,16.91,-515.219,315.302
1,2,23,24,100144.09,0.1,0,-7.93,-946.178,315.406
1,2,24,25,-122720.48,0.18,0,7.18,1014.559,315.406
1,2,25,26,-51996.61,0.35,0,-10.58,378.275,315.406
1,2,26,27,-39550.68,0.32,0,-21.56,254.545,315.406
1,2,27,28,-16186.91,0.32,0,16.63,92.596,315.406
1,2,28,29,1590.84,0.53,0,14.05,-8.126,315.406
1,2,29,30,763.21,1.38,0,-0.75,-3.495,315.406
1,2,30,31,-9500.22,0.32,0,5.95,39.156,315.406
1,2,31,32,1302.64,1.28,0,-23.1,-4.849,315.406
1,2,32,33,1654.67,1.41,0,-19.24,-5.582,315.406
1,2,33,34,11286.77,0.6,0,10.62,-34.637,315.603
1,2,34,35,12859.99,0.69,0,-23.73,-35.981,315.603
1,2,35,36,8221.38,1.09,0,5.23,-21.032,315.603
1,2,36,37,-798.82,3.71,0,16.99,1.873,315.603
1,2,37,38,-10709.8,1.11,0,-29.62,23.078,315.603
1,2,38,39,-19370.08,0.7,0,17.48,38.444,315.603
1,2,39,40,-14059.52,0.58,0,-25.52,25.758,315.603
1,2,40,41,-399.63,5.62,0,30.75,0.677,315.603
1,2,41,42,1340.17,1.74,0,13.06,-2.105,315.603
1,2,42,43,31025.44,0.07,0,26.26,-45.254,315.603
1,2,43,44,25694.5,0.2,0,-31.82,-34.808,315.154
1,2,44,45,38591.39,0.17,0,-14.28,-48.721,315.154
1,2,45,46,243632.23,0.11,0,23.36,-287.05,315.154
1,2,46,47,554010.75,0.03,0,7.56,-610.195,315.154
1,2,47,48,1257208.25,0.07,0,-48.84,-1296.261,315.154
2,3,4,5,370.07,0.06,0,-175.63,-6237.91,317.733
2,3,5,6,42.62,2.83,0,24.25,-179.591,317.733
2,3,6,7,-152.62,0.41,0,52.06,257.265,317.733
2,3,7,8,-13.45,4.4,0,-36.44,11.338,317.733
2,3,8,9,44.39,7.84,0,-76.12,-21.377,317.733
2,3,9,10,563.65,1,0,-41.14,-169.66,317.733
2,3,10,11,308.69,1.16,0,-9.84,-61.944,317.733
2,3,11,12,1436.83,4.32,0,-206.53,-201.829,317.733
2,3,12,13,-3824.1,3.2,0,364.48,390.666,317.733
2,3,13,14,-856.22,1.36,0,-5.15,65.603,317.733
2,3,14,15,-1225.16,1,0,-22.7,72.274,318.024
2,3,15,16,-1013.89,0.89,0,21.58,46.995,318.024
2,3,16,17,96.72,1.23,0,23.54,-3.586,318.024
2,3,17,18,-128.15,2.35,0,2.54,3.861,318.024
2,3,18,19,1521.31,0.27,0,0.19,-37.746,318.024
2,3,19,20,470.83,0.24,0,3.11,-9.735,318.024
2,3,20,21,360.72,0.12,0,-36.84,-6.281,318.024
2,3,21,22,13980.61,0.39,0,22.79,-206.91,318.024
2,3,22,23,35789.77,0.33,0,17.11,-454.011,318.024
2,3,23,24,56880.73,0.38,0,-8.38,-623.167,318.024
2,3,24,25,-79265.64,0.15,0,7.74,757.909,319.193
2,3,25,26,-34328.89,0.81,0,-13.48,287.213,319.193
2,3,26,27,-29669.95,0.67,0,-23.01,218.441,319.193
2,3,27,28,-12531.5,0.65,0,15.99,81.62,319.193
2,3,28,29,2043.22,0.8,0,13.99,-11.829,319.193
2,3,29,30,1718.39,0.87,0,-0.68,-8.883,319.193
2,3,30,31,-7844.87,0.62,0,6,36.354,319.193
2,3,31,32,2619.19,0.95,0,-22.87,-10.925,319.193
2,3,32,33,3070.66,1.13,0,-18.92,-11.567,319.193
2,3,33,34,14854.05,0.88,0,10.61,-50.715,319.193
2,3,34,35,20133.55,1.09,0,-22.98,-62.628,319.908
2,3,35,36,18201.37,1.7,0,6.22,-51.621,319.908
2,3,36,37,49378.07,0.22,0,18.45,-128.043,319.908
2,3,37,38,-15343.22,2.39,0,-31.96,36.471,319.908
2,3,38,39,-49851.41,0.8,0,15.68,108.889,319.908
2,3,39,40,-39924.16,0.61,0,-26.17,80.318,319.908
2,3,40,41,-1046.69,4.68,0,29.9,1.944,319.908
2,3,41,42,-131.88,50.06,0,12.05,0.227,319.908
2,3,42,43,56223.11,0.17,0,25.56,-89.508,319.908
2,3,43,44,34944.3,0.18,0,-33.28,-51.665,319.908
2,3,44,45,54665.9,0,0,-15.63,-49.732,211.643
2,3,45,46,405748,0.05,0,23,-344.004,211.643
2,3,46,47,625259.06,0.1,0,6.08,-494.726,211.643
2,3,47,48,601162.56,0.16,0,-46.66,-444.656,211.643
2,3,48,1,551.79,0.03,0,-42.09,-9302.222,211.643
3,4,2,1,644.49,0.03,0,364.64,2050.692,59.977
3,4,1,48,379.27,0.04,0,43.14,605.216,59.977
3,4,48,47,221048.41,0.23,0,44.84,49.564,59.977
3,4,47,46,306885.5,0.07,0,-6.83,73.733,59.977
3,4,46,45,214220.17,0.05,0,-22.39,55.228,59.977
3,4,45,44,25422.91,0.16,0,14.97,44.184,376.051
3,4,44,43,17142.14,0.09,0,31.91,32.08,376.051
3,4,43,42,29274.61,0.34,0,-25.96,59.112,376.051
3,4,42,41,-665.79,3.21,0,-12.05,-1.453,376.051
3,4,41,40,-797.34,1.63,0,-29.22,-1.886,376.051
3,4,5,6,78.97,0.56,0,-84.8,-1585.735,378.486
3,4,6,7,-43.81,1.06,0,10.7,219.925,378.486
3,4,7,8,-18.52,1.7,0,-23.97,37.19,378.486
3,4,8,9,-40.38,2.75,0,-22.66,40.543,378.486
3,4,9,10,171.7,1,0,-7.62,-98.504,378.486
3,4,10,11,355.18,1.43,0,-19.55,-127.352,378.486
3,4,11,12,712.02,9.56,0,-35.27,-170.202,378.486
3,4,12,13,-1894.4,5.8,0,80.65,316.985,378.486
3,4,13,14,-392.91,1.2,0,-7.55,47.814,378.486
3,4,14,15,-544.8,0.96,0,-24.18,49.724,378.486
3,4,15,16,-433.82,0.95,0,21.2,30.605,380.325
3,4,16,17,10.21,3.82,0,23.29,-0.566,380.325
3,4,17,18,-98.08,1.37,0,2.59,4.349,380.325
3,4,18,19,528.47,0.56,0,-0.42,-19.041,380.325
3,4,19,20,98.69,0.07,0,3.45,-2.929,380.325
3,4,20,21,33.7,1.07,0,-36.06,-0.833,380.325
3,4,21,22,5040.3,0.62,0,22.32,-104.951,380.325
3,4,22,23,12529.75,0.56,0,16.34,-221.765,380.325
3,4,23,24,18826.11,0.63,0,-6.68,-285.603,380.325
3,4,24,25,-24138.12,0.1,0,9.01,316.255,380.325
3,4,25,26,-13617.71,1.14,0,-14.85,155.715,381.723
3,4,26,27,-12224.38,0.98,0,-24.53,122.311,381.723
3,4,27,28,-5177.61,0.95,0,15.17,45.587,381.723
3,4,28,29,989.73,1.02,0,13.89,-7.709,381.723
3,4,29,30,928.21,0.98,0,-0.76,-6.426,381.723
3,4,30,31,-3334.25,0.93,0,5.59,20.612,381.723
3,4,31,32,1429.36,1.06,0,-22.69,-7.921,381.723
3,4,32,33,1626.68,1.1,0,-18.53,-8.114,381.723
3,4,33,34,7505.36,1.04,0,11.61,-33.811,381.723
3,4,34,35,10673.68,1.08,0,-22.26,-43.582,381.723
3,4,35,36,11103.44,1.37,0,6.96,-41.348,382.98
3,4,36,37,30152.01,0.29,0,20.13,-102.373,382.98
3,4,37,38,-8665.66,2.23,0,-33.16,26.901,382.98
3,4,38,39,-28492.77,0.79,0,14.17,81.079,382.98
3,4,39,40,-22971.22,0.64,0,-26.8,60.068,382.98
4,5,1,2,314.5,0.09,0,-101.43,-157.941,37.864
4,5,2,3,371.02,0.14,0,123.45,-745.29,37.864
4,5,3,6,293.57,0.15,0,84.45,1769.154,37.864
4,5,6,7,385.77,0.13,0,3.17,-774.927,37.864
4,5,7,8,100.88,0.27,0,-28.78,-50.659,37.864
4,5,8,9,48.12,10.78,0,-35.29,-100.05,391.94
4,5,9,10,-144.95,8.61,0,-13.46,150.697,391.94
4,5,10,11,5.35,448.58,0,-5.1,-3.176,391.94
4,5,11,12,-569.95,18.88,0,-33.21,211.626,391.94
4,5,12,13,2091.53,10.56,0,63.88,-517.732,391.94
4,5,13,14,241.25,1.86,0,-8.6,-41.802,391.94
4,5,14,15,293.72,1.52,0,-25.88,-37.014,391.94
