48
# x y z
40	10	-97.5
25	25	-97.5
10	40	-97.5
2	47.5	-87
2	47.5	-72
2	47.5	-57
2	47.5	-42
2	47.5	-27
2	47.5	-12
10	40	-3
25	25	-3
40	10	-3
40	-10	-3
25	-25	-3
10	-40	-3
2	-47.5	-12
2	-47.5	-27
2	-47.5	-42
2	-47.5	-57
2	-47.5	-72
2	-47.5	-87
10	-40	-97.5
25	-25	-97.5
40	-10	-97.5
60	-10	-97.5
75	-25	-97.5
90	-40	-97.5
98	-47.5	-87
98	-47.5	-72
98	-47.5	-57
98	-47.5	-42
98	-47.5	-27
98	-47.5	-12
90	-40	-3
75	-25	-3
60	-10	-3
60	10	-3
75	25	-3
90	40	-3
98	47.5	-12
98	47.5	-27
98	47.5	-42
98	47.5	-57
98	47.5	-72
98	47.5	-87
90	40	-97.5
75	25	-97.5
60	10	-97.5
1664
# a b m n err i ip iperr k r rhoa u valid 
1	2	3	4	1.21114884942704e-01	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.49056720512931e-03	-3.17731094600000e+01	4.73599549660598e-02	0.00000000000000e+00	1
1	2	4	5	2.86241240021263e-01	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.23008333633389e-03	-4.36505389400000e+00	5.36938005720876e-03	0.00000000000000e+00	1
1	2	5	6	5.58044618440729e-01	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-9.89030589583592e-04	-2.20740738400000e+00	2.18319342644869e-03	0.00000000000000e+00	1
1	2	6	7	1.59039907279019e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-6.36802060819383e-04	-1.05364174300000e+00	6.70961233307727e-04	0.00000000000000e+00	1
1	2	7	8	1.86559303922095e+01	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-3.74148656394482e-04	-1.44036671000000e-01	5.38911269261841e-05	0.00000000000000e+00	1
1	2	8	9	6.66211001975760e+01	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.95184883678086e-04	-7.70183830000000e-02	1.50328241269293e-05	0.00000000000000e+00	1
1	2	9	10	1.34600147274355e+02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-9.58908440034733e-05	-7.75354120000000e-02	7.43493609683703e-06	0.00000000000000e+00	1
1	2	10	11	1.19258253000838e+02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.46778836386269e-04	-5.71758240000000e-02	8.39220091614611e-06	0.00000000000000e+00	1
1	2	11	12	9.54823621812479e+01	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.85939669230973e-04	-5.63845180000000e-02	1.04841186266678e-05	0.00000000000000e+00	1
1	2	12	13	4.41300569487117e+01	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.22321105414347e-04	-1.85673257000000e-01	2.27117580421221e-05	0.00000000000000e+00	1
1	2	16	17	2.05876733311176e+03	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-2.48062139068513e-05	-1.95818330000000e-02	4.85751138086240e-07	0.00000000000000e+00	1
1	2	17	18	1.88511663042066e+03	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-4.19196737742259e-05	-1.26551390000000e-02	5.30499298447483e-07	0.00000000000000e+00	1
1	2	18	19	1.34667769164728e+02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-5.98693537274409e-05	-1.24123604000000e-01	7.43119995380080e-06	0.00000000000000e+00	1
1	2	19	20	2.28186009149620e+02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-7.07048679331062e-05	-6.20086160000000e-02	4.38431100499470e-06	0.00000000000000e+00	1
1	2	20	21	2.65576832712194e+02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-6.56808598104210e-05	-5.73501480000000e-02	3.76680703089490e-06	0.00000000000000e+00	1
1	2	21	22	1.97850535354970e+01	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-6.82944405233418e-05	-7.43837464000000e-01	5.07999634441814e-05	0.00000000000000e+00	1
1	2	22	23	1.65563736861181e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-3.93270943875149e-04	-1.63455588100000e+00	6.42823334137546e-04	0.00000000000000e+00	1
