24827 4513 1 0 4 0
1 953 3091 2685 4155 1 1
2 2877 3260 1931 3900 2 1
3 2620 2849 2393 2948 3 1
4 1777 3106 2753 3535 4 1
5 1702 3035 3701 3727 5 1
6 2666 3065 3040 3939 6 1
7 3273 3622 2424 3753 7 1
8 2869 2909 2852 3377 8 1
9 2395 3867 3936 4186 9 1
10 2838 2536 3753 4009 10 1
11 2747 2034 3162 3883 11 1
12 2952 3288 3116 4105 12 1
13 2436 2669 3233 4345 13 1
14 2581 2718 2461 3160 14 1
15 2838 3753 3285 4009 15 1
16 38 2822 2638 2925 16 1
17 2719 3232 2435 3333 17 1
18 1500 3199 2617 3817 18 1
19 2669 2815 986 3274 19 1
20 2359 2566 3281 4047 20 1
21 1972 1683 33 3028 21 1
22 581 39 2807 4074 22 1
23 1777 1677 3106 3535 23 1
24 2947 3162 2034 3883 24 1
25 2551 3330 2436 3463 25 1
26 430 3065 27 3939 26 1
27 315 3323 2859 3331 27 1
28 2382 2844 2629 3662 28 1
29 2787 3209 3181 4039 29 1
30 2825 3102 2409 3447 30 1
31 2928 3355 2388 4053 31 1
32 2346 2961 3465 4154 32 1
33 2489 2788 3034 4131 33 1
34 18 3177 3317 3723 34 1
35 2685 3091 1150 4333 35 1
36 3131 3168 2711 3922 36 1
37 2568 2829 2704 3728 37 1
38 2408 2790 3154 3808 38 1
39 2590 2424 3273 3622 39 1
40 2702 2951 2513 3403 40 1
41 887 2751 665 2906 41 1
42 1109 2763 974 3499 42 1
43 2564 3078 3023 3895 43 1
44 2656 3299 2763 3499 44 1
45 2428 3676 3052 4504 45 1
46 2451 2701 3523 3597 46 1
47 3285 3753 3273 4009 47 1
48 2456 2999 2610 3266 48 1
49 3371 3705 1675 3950 49 1
50 2436 3233 2669 4233 50 1
51 2428 2666 3052 3676 51 1
52 2566 3062 2359 3281 52 1
53 2348 3816 2750 3937 53 1
54 2724 3150 383 3791 54 1
55 2436 3330 3272 3463 55 1
56 2556 3598 2464 3608 56 1
57 2354 4021 2789 4109 57 1
58 2530 2910 2652 4215 58 1
59 2400 2838 2725 3573 59 1
60 2461 3218 2610 3296 60 1
61 2424 3114 2750 3496 61 1
62 2354 3857 3195 4021 62 1
63 2687 3758 3710 4015 63 1
64 2461 3296 2610 3633 64 1
65 62 2931 2834 4043 65 1
66 2725 2838 2400 3724 66 1
67 2746 2445 2923 3422 67 1
68 2617 3067 1500 3516 68 1
69 2419 2901 2754 3839 69 1
70 2668 2795 1107 3271 70 1
71 2921 3021 2464 4225 71 1
72 2537 2977 3337 3820 72 1
73 3023 3078 2564 3477 73 1
74 2521 3387 3015 3600 74 1
75 44 2088 3443 3947 75 1
76 2382 2629 2844 3615 76 1
77 2559 3198 3469 3837 77 1
78 2594 1561 3288 3747 78 1
79 3392 3484 1227 4158 79 1
80 1446 3140 2848 3467 80 1
81 2495 3023 3078 4026 81 1
82 2421 2766 2687 3309 82 1
83 2445 2746 2995 3422 83 1
84 2682 3199 1281 3283 84 1
85 2359 3062 2566 4047 85 1
86 1609 2806 1900 3028 86 1
87 2355 3296 3160 3717 87 1
88 1972 2702 1683 3028 88 1
89 59 2821 1344 3381 89 1
90 3016 2424 3622 3753 90 1
91 2647 2750 3816 3937 91 1
92 2723 3399 3172 3488 92 1
93 2495 3078 3023 3477 93 1
94 2354 3195 2789 4021 94 1
95 2584 2857 3040 3114 95 1
96 370 514 3527 3571 96 1
97 953 2685 2763 4155 97 1
98 1053 2821 59 3381 98 1
99 2382 3614 2844 3662 99 1
100 2444 3544 3928 4050 100 1
101 2419 2754 2901 3258 101 1
102 1150 2685 953 3091 102 1
103 2784 3400 3307 3650 103 1
104 2597 2522 3227 3663 104 1
105 2396 2666 2750 3676 105 1
106 2444 3544 3809 3928 106 1
107 2638 2822 38 3192 107 1
108 1860 2734 3038 3618 108 1
