x,y,z,buried
40,10,-97.5,1
25,25,-97.5,1
10,40,-97.5,1
2,47.5,-87,1
2,47.5,-72,1
2,47.5,-57,1
2,47.5,-42,1
2,47.5,-27,1
2,47.5,-12,1
10,40,-3,1
25,25,-3,1
40,10,-3,1
40,-10,-3,1
25,-25,-3,1
10,-40,-3,1
2,-47.5,-12,1
2,-47.5,-27,1
2,-47.5,-42,1
2,-47.5,-57,1
2,-47.5,-72,1
2,-47.5,-87,1
10,-40,-97.5,1
25,-25,-97.5,1
40,-10,-97.5,1
60,-10,-97.5,1
75,-25,-97.5,1
90,-40,-97.5,1
98,-47.5,-87,1
98,-47.5,-72,1
98,-47.5,-57,1
98,-47.5,-42,1
98,-47.5,-27,1
98,-47.5,-12,1
90,-40,-3,1
75,-25,-3,1
60,-10,-3,1
60,10,-3,1
75,25,-3,1
90,40,-3,1
98,47.5,-12,1
98,47.5,-27,1
98,47.5,-42,1
98,47.5,-57,1
98,47.5,-72,1
98,47.5,-87,1
90,40,-97.5,1
75,25,-97.5,1
60,10,-97.5,1
