48
# x y z
40	10	-97.5
25	25	-97.5
10	40	-97.5
2	47.5	-87
2	47.5	-72
2	47.5	-57
2	47.5	-42
2	47.5	-27
2	47.5	-12
10	40	-3
25	25	-3
40	10	-3
40	-10	-3
25	-25	-3
10	-40	-3
2	-47.5	-12
2	-47.5	-27
2	-47.5	-42
2	-47.5	-57
2	-47.5	-72
2	-47.5	-87
10	-40	-97.5
25	-25	-97.5
40	-10	-97.5
60	-10	-97.5
75	-25	-97.5
90	-40	-97.5
98	-47.5	-87
98	-47.5	-72
98	-47.5	-57
98	-47.5	-42
98	-47.5	-27
98	-47.5	-12
90	-40	-3
75	-25	-3
60	-10	-3
60	10	-3
75	25	-3
90	40	-3
98	47.5	-12
98	47.5	-27
98	47.5	-42
98	47.5	-57
98	47.5	-72
98	47.5	-87
90	40	-97.5
75	25	-97.5
60	10	-97.5
2194
# a b m n err i ip iperr k r rhoa u valid 
1	2	3	4	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-6.96407178992572e+02	-3.17731094600000e+01	0.00000000000000e+00	0.00000000000000e+00	1
1	2	4	5	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-8.23343146260917e+02	-4.36505389400000e+00	0.00000000000000e+00	0.00000000000000e+00	1
1	2	5	6	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.00377788124360e+03	-2.20740738400000e+00	0.00000000000000e+00	0.00000000000000e+00	1
1	2	6	7	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.56214148656929e+03	-1.05364174300000e+00	0.00000000000000e+00	0.00000000000000e+00	1
1	2	7	8	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-2.68346782280610e+03	-1.44036671000000e-01	0.00000000000000e+00	0.00000000000000e+00	1
1	2	8	9	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-5.16445098914010e+03	-7.70183830000000e-02	0.00000000000000e+00	0.00000000000000e+00	1
1	2	9	10	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.03408728765620e+04	-7.75354120000000e-02	0.00000000000000e+00	0.00000000000000e+00	1
1	2	10	11	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-6.83506307375314e+03	-5.71758240000000e-02	0.00000000000000e+00	0.00000000000000e+00	1
1	2	11	12	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-5.34381588679244e+03	-5.63845180000000e-02	0.00000000000000e+00	0.00000000000000e+00	1
1	2	12	13	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-8.20846201544056e+03	-1.85673257000000e-01	0.00000000000000e+00	0.00000000000000e+00	1
